Frame,Position Y,Position X,ID,Time,Canal,Velocidad,Dir_vel
2,218.374,305.99600000000004,47,0.67,1,8.621926263660495,-2.9304993203670473
2,212.472,612.446,45,0.67,1,3.8821626950669383,-0.32175055439664013
2,213.38,523.008,46,0.67,1,15.27075872628757,0.043450895391529305
2,209.294,430.846,42,0.67,1,8.235310702053821,2.8198420991931448
2,269.676,511.658,59,0.67,2,7.881480253721814,0.24497866312686414
2,221.098,477.154,50,0.67,1,2.889680321863303,2.3561944901923604
2,301.91,594.2860000000001,60,0.67,3,17.559850322242614,-0.5349550737860963
2,451.276,517.5600000000001,71,0.67,4,9.64752632226655,-0.8960553845713317
2,321.886,621.072,62,0.67,3,13.463341920755488,2.0701430484750274
2,350.488,367.286,63,0.67,6,14.919970110709135,2.98894332519453
2,399.974,250.608,65,0.67,5,17.807468239075128,2.3127435948008133
