Frame,Position Y,Position X,ID,Time,Canal,Velocidad,Dist_Closest,Dist_derecha,Dist_izquierda,Vecino_der,Vecino_izq,Agrupada,Distancia_adelante,Tren_ID
1,391.45696,494.86,77,0.37,14,-11.053201082055942,9.988,9.988,115.76999999999998,78,76,True,115.76999999999998,77
1,102.20902,57.658,10,0.37,2,15.96573489630298,9.988,17.706000000000003,9.988,4,13,True,17.706000000000003,13
1,263.33816,59.02,59,0.37,7,-9.825067628494134,7.264000000000003,393.61800000000005,7.264000000000003,61,58,True,7.264000000000003,58
1,312.01604,570.224,69,0.37,9,15.965734896302788,17.252000000000066,inf,17.252000000000066,,68,True,inf,64
1,198.95188,283.296,51,0.37,4,-9.825067628494153,8.172000000000025,8.172000000000025,20.430000000000007,52,48,True,20.430000000000007,42
1,247.18938,294.646,53,0.37,6,6.140667267808788,20.884000000000015,20.884000000000015,122.126,54,45,True,20.884000000000015,53
1,5.46616,376.82,88,0.37,0,9.825067628494153,219.73600000000005,219.73600000000005,inf,91,,False,219.73600000000005,88
1,198.25272,291.468,52,0.37,4,-6.140667267808788,8.172000000000025,inf,8.172000000000025,,51,True,8.172000000000025,42
1,390.84406,379.09000000000003,76,0.37,14,12.281334535617576,115.76999999999998,115.76999999999998,inf,77,,False,115.76999999999998,76
1,103.04892000000001,377.728,3,0.37,2,14.737601442741152,69.916,69.916,302.36400000000003,0,4,False,69.916,3
1,391.15732,504.848,78,0.37,14,-12.281334535617729,9.988,inf,9.988,,77,True,9.988,77
1,312.4882,493.952,65,0.37,9,9.825067628494153,17.706000000000017,17.706000000000017,19.52199999999999,66,64,True,17.706000000000017,64
1,455.52998,417.226,86,0.37,18,-11.053201082055942,inf,inf,inf,,,False,inf,86
1,118.37142,3.178,14,0.37,3,11.053201082055908,11.350000000000001,11.350000000000001,inf,17,,True,11.350000000000001,14
1,4.7760799999999985,596.556,91,0.37,0,12.281334535617576,11.350000000000023,11.350000000000023,219.73600000000005,90,88,True,11.350000000000023,91
1,198.70672000000002,109.86800000000001,40,0.37,4,-1.2281334535617883,7.717999999999989,7.717999999999989,inf,39,,True,inf,40
1,359.10492,241.52800000000002,73,0.37,12,9.825067628494077,9.988,inf,9.988,,72,True,inf,72
1,118.21252000000001,23.608,22,0.37,3,11.053201082055912,9.08,111.684,9.08,24,17,True,111.684,14
1,472.88186,111.23,87,0.37,19,-1.2281334535617499,inf,inf,inf,,,False,inf,87
1,199.06084,234.264,42,0.37,4,-12.281334535617653,20.430000000000007,20.430000000000007,116.67800000000001,46,39,True,116.67800000000001,42
1,216.46266,547.07,43,0.37,5,-8.596934174932365,38.13599999999997,38.13599999999997,inf,44,,False,inf,43
1,118.48492000000002,14.528,17,0.37,3,9.82506762849414,9.08,9.08,11.350000000000001,22,14,True,9.08,14
1,358.95056,231.54000000000002,72,0.37,12,11.053201082055864,9.988,9.988,inf,73,,True,9.988,72
1,264.24162,452.63800000000003,61,0.37,7,-1.2281334535617883,393.61800000000005,inf,393.61800000000005,,59,False,393.61800000000005,61
1,439.5174,466.712,85,0.37,17,20.878268710550095,111.68399999999997,inf,111.68399999999997,,83,False,inf,85
1,102.31344,447.644,0,0.37,2,-11.053201082055942,69.916,inf,69.916,,3,False,69.916,0
1,5.343579999999998,607.9060000000001,90,0.37,0,12.281334535617576,11.350000000000023,16.798000000000002,11.350000000000023,89,91,True,16.798000000000002,91
1,375.09479999999996,117.132,74,0.37,13,-13.509467989179441,439.018,439.018,inf,75,,False,inf,74
1,440.14392000000004,355.028,83,0.37,17,9.825067628494153,14.982000000000028,111.68399999999997,14.982000000000028,85,82,True,111.68399999999997,82
1,312.27936000000005,531.1800000000001,67,0.37,9,11.053201082055633,19.522000000000048,21.791999999999916,19.522000000000048,68,66,True,21.791999999999916,64
1,313.4416,552.972,68,0.37,9,15.965734896303095,17.252000000000066,17.252000000000066,21.791999999999916,69,67,True,17.252000000000066,64
1,198.44794,254.69400000000002,46,0.37,4,-9.825067628494153,8.171999999999969,8.171999999999969,20.430000000000007,48,42,True,20.430000000000007,42
